,X_WGS84,Y_WGS84,hescom
494,-145.53,64.92,0
495,-145.49,68.42,0
496,-145.42,69.18,0
497,-145.42,62.56,0
498,-145.405272,62.038106,0
499,-145.26,61.34,0
500,-145.156578,66.920676,0
501,-145.151818,66.7229,0
502,-144.84,65.22,0
503,-144.77,69.26,0
504,-144.69,65.87,0
505,-144.65,67.7,0
506,-144.65,63.05,0
507,-144.58,68.65,0
508,-144.332108,61.521197,0
509,-144.2,66.97,0
510,-144.12,63.89,0
511,-144.04,64.96,0
512,-143.89,60.73,0
513,-143.85,69.45,0
514,-143.78,67.05,0
515,-143.78,62.33,0
516,-143.4,67.7,0
517,-143.36,62.71,0
518,-143.32,61.68,0
519,-143.28,66.21,0
520,-143.28,64.84,0
521,-143.25,68.69,0
522,-143.17,69.45,0
523,-142.9,61.07,0
524,-142.83,62.25,0
525,-142.48,65.49,0
526,-142.47,61.5,0
527,-142.41,67.81,0
528,-142.24,69.04,0
529,-142.16,64.41,0
530,-142.14,66.78,0
531,-142.14,62.82,0
532,-142.03,63.66,0
533,-141.99,62.02,0
534,-141.95,60.69,0
535,-141.8,65.76,0
536,-141.57,66.97,0
537,-141.42,68,0
538,-141.34,69.11,0
539,-141.3,64.73,0
540,-141,61.3,0
541,-141,63.2,0
542,-140.62,66.52,0
543,-140.43,67.73,0
544,-140.35,63.47,0
545,-140.31,60.96,0
546,-140.2,64.57,0
547,-140.16,65.37,0
548,-140.15646,69.160935,0
549,-139.78,66.75,0
550,-139.74,62.4,0
551,-139.44,64.1,0
552,-139.36,67.89,0
553,-139.29,68.84,0
554,-139.130221,61.388277,0
555,-138.79,66.55,0
556,-138.75,65.11,0
557,-138.56,61.99,0
558,-138.52,68.23,0
559,-138.49,63.47,0
560,-138.442567,61.173628,0
561,-138.07,68.72,0
562,-138.03,65.34,0
563,-137.88,68.08,0
564,-137.61,66.84,0
565,-137.519319,60.750653,0
566,-137.39,62.78,0
567,-137.06,60.37,0
568,-137.01197,61.38799,0
569,-136.96,68.04,0
570,-136.876678,62.591508,0
571,-136.77,67.01,0
572,-136.58,65.07,0
573,-136.51,66.25,0
574,-136.48,60.79,0
575,-136.16,63.81,0
576,-136.123352,61.898792,0
577,-135.86,66.9,0
578,-135.71134,60.857149,0
579,-135.63,65.6,0
580,-135.59903,59.271254,0
581,-135.48,67.85,0
582,-135.25,62.1,0
583,-135.153794,60.953972,0
584,-135,63,0
585,-134.881789,60.594628,0
586,-134.87,66.82,0
587,-134.72,67.81,0
588,-134.68,65.18,0
589,-134.64,65.95,0
590,-134.638978,60.173644,0
591,-134.53,63.93,0
592,-134.49,68.5,0
593,-134.41,69.03,0
594,-133.78,59.58,0
595,-133.77,61.45,0
596,-133.69,68.31,0
597,-133.6,66.84,0
598,-133.54,67.43,0
599,-133.42,63.74,0
600,-133.354715,62.238491,0
601,-133.35,64.88,0
602,-133,68.88,0
603,-132.62,60.54,0
604,-132.62,65.98,0
605,-132.59,59.93,0
606,-132.51,67.85,0
607,-132.509492,61.969454,0
608,-132.47,63.09,0
609,-132.39,58.48,0
610,-132.28,64.31,0
611,-132.13,66.75,0
612,-131.98,68.53,0
613,-131.94,59.36,0
614,-131.84,56.65,0
615,-131.82,65.41,0
616,-131.75,61.3,0
617,-131.6,62.71,0
618,-131.52,67.51,0
619,-131.23,63.55,0
620,-131.14,66.36,0
621,-130.971394,58.013372,0
622,-130.87,57.15,0
623,-130.8,64.77,0
624,-130.76,61.3,0
625,-130.76,67.62,0
626,-130.72,68.38,0
627,-130.705506,58.179325,0
628,-130.68,60.39,0
629,-130.62,65.74,0
630,-130.57,62.37,0
631,-130.42,66.82,0
632,-129.88,60.43,0
633,-129.85,59.29,0
634,-129.69,64.54,0
635,-129.62,68.95,0
636,-129.59,57.51,0
637,-129.58,63.36,0
638,-129.58,67.16,0
639,-129.54,66.55,0
640,-129.54,65.53,0
641,-129.44,68.02,0
642,-129.068056,59.370536,0
643,-129.05,63.15,0
644,-129.01,66.71,0
645,-128.85,61.76,0
646,-128.82,56.01,0
647,-128.74,56.88,0
648,-128.63,54.33,0
649,-128.55,60.77,0
650,-128.47,65.91,0
651,-128.41,53.16,0
652,-128.4,67.73,0
653,-128.25,64.99,0
654,-128.21,54.3,0
655,-128.09,63.97,0
656,-128.02,67.24,0
657,-127.86,68.12,0
658,-127.67,55.25,0
659,-127.64,62.94,0
660,-127.64,59.44,0
661,-127.6,57.23,0
662,-127.6,61.91,0
663,-127.52,69.71,0
664,-127.48,66.76,0
665,-127.48,60.69,0
666,-127.37,56.09,0
667,-127.24,69.04,0
668,-127.14,67.43,0
669,-127.106842,54.772658,0
670,-126.91,63.89,0
671,-126.91,53.34,0
672,-126.76,58.56,0
673,-126.76,65.11,0
674,-126.72,68.12,0
675,-126.72,66.17,0
676,-126.61,56.77,0
677,-126.49,59.32,0
678,-126.46,62.44,0
679,-126.38,55.93,0
680,-126.38,60.39,0
681,-126.23,68.88,0
682,-126.15,67.05,0
683,-125.92,57.84,0
684,-125.904,49.164,0
685,-125.88,51.4,0
686,-125.81,64.31,0
687,-125.77,67.66,0
688,-125.75,54.05,0
689,-125.54,68.19,0
690,-125.5,62.25,0
691,-125.47,65.87,0
692,-125.47,52.73,0
693,-125.43,66.97,0
694,-125.31,55.44,0
695,-125.28,59.62,0
696,-125.28,58.22,0
697,-125.24,60.77,0
698,-125.12,63.2,0
699,-125.04,56.75,0
700,-125.01,68.46,0
701,-124.93,64.38,0
702,-124.93,52.62,0
703,-124.91,50.25,0
704,-124.89,72.38,0
705,-124.85,54.06,0
706,-124.67,66.52,0
707,-124.65,49.3,0
708,-124.63,62.1,0
709,-124.509,42.74,0
710,-124.426383,49.617527,0
711,-124.3867,42.2581,0
712,-124.26,54.46,0
713,-124.25,57.95,0
714,-124.25,68.19,0
715,-124.25,72.87,0
716,-124.161018,52.05067,0
717,-124.13,64.84,0
718,-124.13,60.23,0
719,-124.06,68.5,0
720,-124.05469,49.6126,0
721,-124.047896,42.646055,0
722,-123.98,63.28,0
723,-123.95,67.39,0
724,-123.94,49.17,0
725,-123.94,66.02,0
726,-123.8941,45.8196,0
727,-123.83,53.19,0
728,-123.8226,41.1542,0
729,-123.77485,42.337437,0
730,-123.75,56.2,0
731,-123.75,59.09,0
732,-123.75,74.13,0
733,-123.7386,43.907,0
734,-123.7233,45.9888,0
735,-123.68,61.07,0
736,-123.63,72.41,0
737,-123.625162,42.06577,0
738,-123.583579,48.312983,0
739,-123.5833,42.5933,0
740,-123.558045,40.787237,0
741,-123.5476,44.4985,0
742,-123.5344,42.3644,0
743,-123.530249,48.533428,0
744,-123.524696,47.983316,0
745,-123.4941,45.6552,0
746,-123.474147,41.379341,0
747,-123.460064,48.923825,0
748,-123.400901,40.321408,0
749,-123.344475,39.625825,0
750,-123.3,55.51,0
751,-123.2972,43.4222,0
752,-123.281148,47.046643,0
753,-123.2715,42.6864,0
754,-123.2695,48.7489,0
755,-123.266638,44.184995,0
756,-123.2659,44.7145,0
757,-123.26,60.04,0
758,-123.243544,41.667947,0
759,-123.24,64.88,0
760,-123.2249,44.9191,0
761,-123.22,73.64,0
762,-123.191537,40.737347,0
763,-123.18,67.73,0
764,-123.1695,42.4358,0
765,-123.1616,42.2513,0
766,-123.137222,41.298889,0
767,-123.08068,39.093262,0
768,-123.07,62.21,0
769,-123.07,57.38,0
770,-123.062272,47.872837,0
771,-123.057644,40.477545,0
772,-123.050408,39.907344,0
773,-123.05,49.15,0
774,-123.04,51.72,0
775,-123.0342,43.2822,0
776,-123.03,73.14,0
777,-123.01222,40.98194,0
778,-122.990465,45.500762,0
779,-122.99,66.1,0
780,-122.99,69.14,0
781,-122.9836,44.3936,0
782,-122.970456,44.010117,0
783,-122.9592,44.7636,0
784,-122.95,63.89,0
785,-122.949722,39.712222,0
786,-122.945479,44.970021,0
787,-122.94504,38.648131,0
788,-122.894468,41.375074,0
789,-122.882826,53.979374,0
790,-122.869458,45.849022,0
791,-122.839425,39.467817,0
792,-122.808024,47.046385,0
793,-122.80404,40.741751,0
794,-122.8,50.32,0
795,-122.8,71.73,0
796,-122.79,51.05,0
797,-122.75728,38.93778,0
798,-122.755783,49.121673,0
799,-122.743526,38.063216,0
800,-122.723494,41.677792,0
801,-122.71187,41.094106,0
802,-122.711294,45.385892,0
803,-122.709717,39.311762,0
804,-122.703645,38.455809,0
805,-122.700409,42.203538,0
806,-122.697,44.1637,0
807,-122.666082,45.669056,0
808,-122.6425,41.3575,0
809,-122.617224,42.031167,0
810,-122.61,72.8,0
811,-122.61,68.23,0
812,-122.59828,40.28876,0
813,-122.585941,37.862469,0
814,-122.57,66.97,0
815,-122.559589,51.836555,0
816,-122.54,52.2,0
817,-122.53,68.96,0
818,-122.506784,37.552116,0
819,-122.497531,48.757848,0
820,-122.49,52.98,0
821,-122.460452,38.282329,0
822,-122.446667,39.099722,0
