,X_WGS84,Y_WGS84,helmax
555,-159.35,61.87,0
556,-159.31,60.46,0
557,-159.27,63.09,0
558,-159.25,66.79,0
559,-159.24,59.28,0
560,-159.22,61.37,0
561,-159.18,69.43,0
562,-159.12,70.02,0
563,-159.08,68,0
564,-159.04,61.5,0
565,-159.02,68.57,0
566,-158.95,63.90,0
567,-158.93,62.82,0
568,-158.90,59.98,0
569,-158.88,69.2,0
570,-158.85,56.5,0
571,-158.78,65.48,0
572,-158.77,61.93,0
573,-158.75,59.44,0
574,-158.68,66.73,0
575,-158.66,68.18,0
576,-158.65,63.68,0
577,-158.63,62.34,0
578,-158.61,70.47,0
579,-158.57,64.55,0
580,-158.55,67.51,0
581,-158.55,63.59,0
582,-158.51,59.93,0
583,-158.47,60.39,0
584,-158.47,62.71,0
585,-158.44,67.25,0
586,-158.41,66.19,0
587,-158.4,69.75,0
588,-158.36,61.24,0
589,-158.29,68.77,0
590,-158.25,66.55,0
591,-158.22,61.93,0
592,-158.22,65.22,0
593,-158.17,60.73,0
594,-158.15,64.08,0
595,-158.11,69.58,0
596,-158.05,68.8,0
597,-158.02,67.91,0
598,-158.02,62.97,0
599,-157.98,64.76,0
600,-157.94,67.42,0
601,-157.91,68.23,0
602,-157.9,65.56,0
603,-157.9,61.8,0
604,-157.86,63.43,0
605,-157.86,56.96,0
606,-157.83,59.4,0
607,-157.82,69.52,0
608,-157.81,70.13,0
609,-157.79,60.73,0
610,-157.75,70.21,0
611,-157.73,62.68,0
612,-157.68,63.83,0
613,-157.6,60.12,0
614,-157.59,66.92,0
615,-157.59,62.23,0
616,-157.56,63.57,0
617,-157.52,65.07,0
618,-157.45,66.44,0
619,-157.45,68.08,0
620,-157.43,67.80,0
621,-157.43,68.78,0
622,-157.41,59.87,0
623,-157.36,64.81,0
624,-157.36,68.32,0
625,-157.34,70.47,0
626,-157.34,59.46,0
627,-157.33,61.38,0
628,-157.26,65.90,0
629,-157.25,60.87,0
630,-157.16,69.70,0
631,-157.14,67.39,0
632,-157.1,65.83,0
633,-157.1,63.28,0
634,-157.07,69.22,0
635,-156.99,62.37,0
636,-156.98,70.20,0
637,-156.96,60.36,0
638,-156.93,66.24,0
639,-156.91,66.78,0
640,-156.84,70.56,0
641,-156.84,59.36,0
642,-156.84,57.42,0
643,-156.77,68.41,0
644,-156.76,64.33,0
645,-156.75,70.13,0
646,-156.75,58.78,0
647,-156.71,65.56,0
648,-156.71,67.41,0
649,-156.67,62.94,0
650,-156.66,69.48,0
651,-156.65,60.27,0
652,-156.62,64.79,0
653,-156.58,64.38,0
654,-156.57,68.84,0
655,-156.54,67.76,0
656,-156.53,61.19,0
657,-156.53,59.87,0
658,-156.46,66.28,0
659,-156.39,59.26,0
660,-156.37,66.87,0
661,-156.34,70.17,0
662,-156.34,63.97,0
663,-156.33,62.34,0
664,-156.3,68.23,0
665,-156.3,62.94,0
666,-156.29,69.54,0
667,-156.27,58.9,0
668,-156.23,65.37,0
669,-156.20,63.28,0
670,-156.15,68.84,0
671,-156.14,70.47,0
672,-156.09,63.97,0
673,-156.08,58.29,0
674,-156.07,67.63,0
675,-156.06,59.85,0
676,-156.05,58.37,0
677,-156.03,64.74,0
678,-156,66.06,0
679,-155.95,60.40,0
680,-155.94,69.84,0
681,-155.87,63.72,0
682,-155.85,62.4,0
683,-155.82,68.50,0
684,-155.78,65.19,0
685,-155.71,59.08,0
686,-155.69,58.49,0
687,-155.66,61.74,0
688,-155.66,66.59,0
689,-155.64,70.45,0
690,-155.61,64.59,0
691,-155.58,63.24,0
692,-155.57,62.82,0
693,-155.53,65.62,0
694,-155.52,61.12,0
695,-155.5,65.49,0
696,-155.48,69.45,0
697,-155.44,64.04,0
698,-155.43,67.51,0
699,-155.43,69.79,0
700,-155.39,64.38,0
701,-155.37,62.23,0
702,-155.36,68.82,0
703,-155.35,60.65,0
704,-155.28,61.77,0
705,-155.27,58.66,0
706,-155.26,59.51,0
707,-155.16,59.93,0
708,-155.10,62.98,0
709,-155.05,63.74,0
710,-155.01,67.26,0
711,-154.97,69.45,0
712,-154.97,58.64,0
713,-154.96,67.64,0
714,-154.93,68.35,0
715,-154.92,60.50,0
716,-154.89,70.55,0
717,-154.86,65.18,0
718,-154.86,62.21,0
719,-154.85,63.49,0
720,-154.81,64.33,0
721,-154.80,63.90,0
722,-154.78,59.24,0
723,-154.78,69.11,0
724,-154.76,67.04,0
725,-154.69,70.04,0
726,-154.63,66.55,0
727,-154.63,63.43,0
728,-154.62,68.93,0
729,-154.58,62.43,0
730,-154.55,61.95,0
731,-154.55,68.15,0
732,-154.53,64.92,0
733,-154.48,61.57,0
734,-154.46,65.78,0
735,-154.46,59.37,0
736,-154.37,59.94,0
737,-154.33,64.09,0
738,-154.33,65.53,0
739,-154.30,67.55,0
740,-154.30,68.69,0
741,-154.26,62.54,0
742,-154.26,66.96,0
743,-154.25,69.98,0
744,-154.25,60.5,0
745,-154.24,69.43,0
746,-154.24,61.12,0
747,-154.17,67.31,0
748,-154.17,63.01,0
749,-154.10,66.33,0
750,-154.10,64.70,0
751,-154.08,63.72,0
752,-153.99,63.38,0
753,-153.96,66.75,0
754,-153.91,68.92,0
755,-153.90,67.80,0
756,-153.87,68.37,0
757,-153.87,65.87,0
758,-153.83,65.24,0
759,-153.79,64.77,0
760,-153.79,61.54,0
761,-153.75,66.59,0
762,-153.72,60.32,0
763,-153.71,62.33,0
764,-153.68,61.49,0
765,-153.66,60.99,0
766,-153.66,69.50,0
767,-153.62,64.33,0
768,-153.62,67.76,0
769,-153.60,67.10,0
770,-153.58,62.84,0
771,-153.52,60.62,0
772,-153.42,61.23,0
773,-153.41,63.87,0
774,-153.35,69.97,0
775,-153.3,65.53,0
776,-153.26,66.19,0
777,-153.26,63.36,0
778,-153.26,67.13,0
779,-153.24,62.14,0
780,-153.24,65.73,0
781,-153.22,68.53,0
782,-153.20,64.50,0
783,-153.20,60.48,0
784,-153.15,69.32,0
785,-153.14,70.29,0
786,-153.06,65.19,0
787,-153.04,64.02,0
788,-153.01,67.87,0
789,-152.95,61.53,0
790,-152.95,69.03,0
791,-152.82,69.07,0
792,-152.8,67.85,0
793,-152.74,67.23,0
794,-152.72,62.52,0
795,-152.72,69.6,0
796,-152.65,63.77,0
797,-152.65,66.86,0
798,-152.63,62.86,0
799,-152.57,64.69,0
800,-152.57,61.07,0
801,-152.56,69.84,0
802,-152.54,64.67,0
803,-152.53,65.79,0
804,-152.42,64.27,0
805,-152.42,63.43,0
806,-152.39,63.32,0
807,-152.35,68.44,0
808,-152.31,61.91,0
809,-152.27,67.51,0
810,-152.27,67.89,0
811,-152.24,65.33,0
812,-152.22,62.04,0
813,-152.17,66.58,0
814,-152.14,69.75,0
815,-152.10,65.98,0
816,-152,69.14,0
817,-151.99,65.76,0
818,-151.93,63.93,0
819,-151.89,61.26,0
820,-151.89,62.94,0
821,-151.88,64.65,0
822,-151.85,65.22,0
823,-151.85,66.75,0
824,-151.81,68.34,0
825,-151.70,67.30,0
826,-151.66,62.33,0
827,-151.65,61.57,0
828,-151.54,63.99,0
829,-151.47,68.34,0
830,-151.46,69.83,0
831,-151.45,66.64,0
832,-151.42,63.40,0
833,-151.38,67.63,0
834,-151.35,66.13,0
835,-151.34,64.88,0
836,-151.29,69.28,0
837,-151.29,61.98,0
838,-151.28,69.75,0
839,-151.24,64.46,0
840,-151.192595,63.114803,0
841,-151.17,62.26,0
842,-151.13,67.26,0
843,-151.12,65.31,0
844,-151.11,69.09,0
845,-151.05,67.62,0
846,-151.04,65.90,0
847,-151.01,61.68,0
848,-150.94,66.44,0
849,-150.86,66.82,0
850,-150.83,63.36,0
851,-150.79,62.18,0
852,-150.75,69.73,0
853,-150.74,66.53,0
854,-150.72,63.79,0
855,-150.67,69.37,0
856,-150.66,68.44,0
857,-150.63,62.86,0
858,-150.62,60.31,0
859,-150.59,67.28,0
860,-150.57,67.55,0
861,-150.52,65.79,0
862,-150.50,64.67,0
863,-150.49,64.33,0
864,-150.48,68.61,0
865,-150.45,70.22,0
866,-150.34,65.06,0
867,-150.27,68.91,0
868,-150.25,63.36,0
869,-150.19,66.07,0
870,-150.17,64.23,0
871,-150.15,61.84,0
872,-150.07,62.56,0
873,-150.06,67.16,0
874,-150.02,65.15,0
875,-149.95,62.29,0
876,-149.93,62.23,0
877,-149.91,68.46,0
878,-149.89,67.53,0
879,-149.86,68.03,0
880,-149.85,63.49,0
881,-149.79,69.94,0
882,-149.73,64.45,0
883,-149.64,68.99,0
884,-149.64,66.63,0
885,-149.60,60.52,0
886,-149.6,63.47,0
887,-149.53,68.15,0
888,-149.49,61.83,0
889,-149.47,65.52,0
