,X_WGS84,Y_WGS84,verstr
782,-149.95,62.29,0
783,-149.87,69.45,0
784,-149.79,69.94,0
785,-149.64,68.99,0
786,-149.6,63.47,0
787,-149.53,68.15,0
788,-149.49,61.83,0
789,-149.45,62.67,0
790,-149.34,64.57,0
791,-149.23,67.63,0
792,-149.11,69.45,0
793,-148.73,62.33,0
794,-148.54,63.55,0
795,-148.46,66.29,0
796,-148.439042,61.788505,0
797,-148.42,67.13,0
798,-148.27,64.88,0
799,-148.08,69.26,0
800,-147.89,68.15,0
801,-147.74,62.06,0
802,-147.62,65.83,0
803,-147.59,69.07,0
804,-147.47,66.63,0
805,-147.43,63.51,0
806,-147.39,67.66,0
807,-147.13,64.31,0
808,-146.94,61.95,0
809,-146.79,65.49,0
810,-146.63,68,0
811,-146.56,69.35,0
812,-146.37,63.2,0
813,-146.33,65.87,0
814,-146.25,67.01,0
815,-146.155564,64.256775,0
816,-145.644103,64.148606,0
817,-145.53,64.92,0
818,-145.49,68.42,0
819,-145.42,63.47,0
820,-145.42,62.56,0
821,-145.405272,62.038106,0
822,-145.26,61.34,0
823,-145.156578,66.920676,0
824,-145.151818,66.7229,0
825,-144.84,65.22,0
826,-144.84,64,0
827,-144.77,69.26,0
828,-144.69,65.87,0
829,-144.65,67.7,0
830,-144.65,63.05,0
831,-144.58,68.65,0
832,-144.332108,61.521197,0
833,-144.2,66.97,0
834,-144.12,63.89,0
835,-144.04,64.96,0
836,-143.89,60.73,0
837,-143.85,69.45,0
838,-143.78,67.05,0
839,-143.4,67.7,0
840,-143.36,62.71,0
841,-143.32,61.68,0
842,-143.28,66.21,0
843,-143.25,68.69,0
844,-143.17,69.45,0
845,-142.9,61.07,0
846,-142.83,62.25,0
847,-142.48,65.49,0
848,-142.47,61.5,0
849,-142.41,67.81,0
850,-142.24,69.04,0
851,-142.16,64.41,0
852,-142.14,66.78,0
853,-142.03,63.66,0
854,-141.99,62.02,0
855,-141.95,60.69,0
856,-141.8,65.76,0
857,-141.57,66.97,0
858,-141.42,68,0
859,-141.34,69.11,0
860,-141.3,64.73,0
861,-141,62.3,0
862,-140.62,66.52,0
863,-140.43,67.73,0
864,-140.35,63.47,0
865,-140.35,62.25,0
866,-140.31,60.96,0
867,-140.2,64.57,0
868,-140.16,65.37,0
869,-140.15646,69.160935,0
870,-139.78,66.75,0
871,-139.74,62.4,0
872,-139.57,64.02,0
873,-139.36,67.89,0
874,-139.29,68.84,0
875,-139.130221,61.388277,0
876,-138.79,66.55,0
877,-138.75,65.11,0
878,-138.56,61.99,0
879,-138.52,68.23,0
880,-138.49,63.47,0
881,-138.442567,61.173628,0
882,-138.07,68.72,0
883,-138.03,65.34,0
884,-137.88,68.08,0
885,-137.61,66.84,0
886,-137.519319,60.750653,0
887,-137.39,62.78,0
888,-137.06,60.37,0
889,-137.01197,61.38799,0
890,-136.96,68.04,0
891,-136.876678,62.591508,0
892,-136.77,67.01,0
893,-136.58,65.07,0
894,-136.51,66.25,0
895,-136.48,60.79,0
896,-136.16,63.81,0
897,-136.123352,61.898792,0
898,-135.86,66.9,0
899,-135.71134,60.857149,0
900,-135.63,65.6,0
901,-135.59903,59.271254,0
902,-135.48,67.85,0
903,-135.25,62.1,0
904,-135.153794,60.953972,0
905,-135.026225,60.661583,0
906,-135,63,0
907,-134.884943,60.106654,0
908,-134.87,66.82,0
909,-134.72,67.81,0
910,-134.68,65.18,0
911,-134.64,65.95,0
912,-134.53,63.93,0
913,-134.49,68.5,0
914,-134.41,69.03,0
915,-133.77,61.45,0
916,-133.72,59.53,0
917,-133.69,68.31,0
918,-133.6,66.84,0
919,-133.54,67.43,0
920,-133.42,63.74,0
921,-133.354715,62.238491,0
922,-133.35,64.88,0
923,-133,66.44,0
924,-132.62,65.98,0
925,-132.59,59.93,0
926,-132.51,67.85,0
927,-132.509492,61.969454,0
928,-132.47,63.09,0
929,-132.39,58.48,0
930,-132.28,64.31,0
931,-132.13,66.75,0
932,-131.98,68.53,0
933,-131.94,59.36,0
934,-131.84,56.65,0
935,-131.82,65.41,0
936,-131.75,61.3,0
937,-131.6,62.71,0
938,-131.52,67.51,0
939,-131.23,63.55,0
