,X_WGS84,Y_WGS84,schsco
498,-100.535142,42.539483,1
499,-82.250541,35.431482,1
500,-83.20206,35.343412,1
501,-82.789856,35.299098,1
502,-83.409909,35.048443,1
503,-83.619919,35.081662,1
504,-83.713641,34.637102,1
505,-83.077291,35.25008,1
506,-83.013473,35.163429,1
507,-110.902,33.806,1
508,-93.600419,36.690124,1
509,-110.235504,32.904041,1
510,-88.507899,42.876425,1
511,-81.5625,36.391667,1
512,-90.819443,46.808413,1
513,-97.081319,27.835009,1
514,-70.010422,41.287353,1
515,-93.344036,44.762646,1
516,-92.812758,44.768259,1
517,-91.28284,43.522538,1
518,-92.33874,44.520016,1
519,-95.164428,43.537333,1
520,-93.179222,43.6646,1
521,-96.417356,47.056714,1
522,-95.222784,47.145259,1
523,-93.168729,45.380475,1
524,-96.002761,45.973812,1
525,-94.149118,45.694726,1
526,-95.699254,44.262693,1
527,-93.111205,45.053198,1
528,-94.335166,46.342385,1
529,-92.219269,43.637724,1
530,-95.970678,44.372537,1
531,-93.252399,45.077013,1
532,-96.414696,46.811065,1
533,-92.446408,46.665477,1
534,-92.335252,43.987114,1
535,-94.055095,45.419771,1
536,-93.184223,44.052885,1
537,-93.860001,45.332572,1
538,-92.8599,43.850111,1
539,-95.748006,45.810665,1
540,-95.009835,44.086136,1
541,-98.5585,31.29648,1
542,-77.11346,38.893126,1
543,-103.009837,42.704294,1
544,-106.840501,35.52181,1
545,-98.440178,30.247772,1
546,-96.21101,30.567813,1
547,-95.040559,45.247457,1
548,-104.99015,34.899338,1
549,-99.022933,29.650572,1
550,-99.18325,29.631645,1
551,-95.67343,30.302067,1
552,-94.72915,29.373335,1
553,-96.700284,32.754134,1
554,-96.76701,32.988415,1
555,-104.9619,39.73193,1
556,-104.774476,39.389414,1
557,-88.098283,42.260734,1
558,-97.785172,30.371258,1
559,-105.270236,40.211299,1
560,-71.309039,42.314563,1
561,-105.032919,40.574131,1
562,-96.653914,33.258399,1
563,-70.881871,42.008942,1
564,-79.051591,35.264435,1
565,-88.31012,42.078895,1
566,-105.116235,40.480168,1
567,-103.677445,46.956742,1
568,-83.66815,41.361854,1
569,-97.281422,32.245386,1
570,-76.073108,39.727972,1
571,-88.707717,30.350164,1
572,-86.866044,45.782292,1
573,-97.44489,33.468143,1
574,-84.941092,35.786788,1
575,-100.201049,32.181897,1
576,-90.054817,43.9407,1
577,-88.156872,41.364907,1
578,-87.85965,41.773838,1
579,-75.673083,36.003361,1
580,-76.007528,39.452694,1
581,-76.049639,36.921167,1
582,-76.598306,37.773667,1
583,-75.32025,37.930556,1
584,-77.766111,34.248611,1
585,-81.0807,35.574217,1
586,-87.922343,42.249673,1
587,-97.095615,32.587881,1
588,-74.083955,40.036101,1
589,-99.460212,39.402774,1
590,-90.558123,39.84525,1
591,-97.519029,37.239014,1
592,-73.72741,41.789509,1
593,-77.293299,43.915158,1
594,-82.482218,45.722579,1
595,-96.410407,29.658467,1
596,-74.697854,39.406517,1
597,-83.464233,45.897539,1
598,-74.196115,39.655268,1
599,-97.206451,37.181738,1
600,-85.845703,44.308495,1
601,-74.435322,39.479048,1
602,-106.007792,50.242975,1
603,-85.883902,31.787928,1
604,-89.594697,30.328592,1
605,-82.938966,45.826999,1
606,-101.821572,37.136592,1
607,-80.330579,42.67941,1
608,-94.581378,44.990507,1
609,-78.092228,44.172753,1
610,-96.925507,32.846351,1
611,-86.969436,41.157435,1
612,-82.517348,41.935407,1
613,-80.255599,45.763122,1
614,-73.575638,40.592187,1
615,-90.82659,41.433315,1
616,-80.389175,43.268755,1
617,-81.28001,44.74001,1
618,-88.289521,41.721957,1
619,-77.644028,34.581722,1
620,-86.25471,44.686764,1
621,-84.30303,44.89117,1
622,-84.16082,42.32899,1
623,-85.341961,42.933643,1
624,-85.93949,45.93225,1
625,-84.194464,45.975853,1
626,-85.8951,44.211924,1
627,-86.452583,43.955283,1
628,-84.07546,44.34184,1
629,-85.573807,45.707856,1
630,-86.245149,44.484974,1
631,-85.64255,43.51863,1
632,-86.507232,44.043516,1
633,-84.223903,45.212709,1
634,-83.46878,45.32742,1
635,-83.665531,46.078649,1
636,-86.03379,46.658548,1
637,-85.855272,44.937652,1
638,-83.050743,44.007823,1
639,-84.612536,45.412512,1
640,-87.656468,45.118572,1
641,-84.40113,45.17029,1
642,-86.027099,44.903292,1
643,-114.09,51.05,1
644,-115.82,50.19,1
645,-108.4,50.27,1
646,-75.02,45.62,1
647,-106.67,52.13,1
648,-114.87,51.15,1
649,-115.85,50.332,1
650,-98.335,35.413333,1
651,-98.840298,29.741098,1
652,-88.07526,40.526827,1
653,-95.488096,30.220981,1
654,-88.995668,31.514688,1
655,-87.408149,46.560055,1
656,-98.460473,29.339544,1
657,-89.156006,40.635102,1
658,-80.297333,43.159008,1
659,-89.403581,30.928606,1
660,-75.973291,37.168614,1
661,-91.597438,34.780836,1
662,-74.34814,40.654065,1
663,-88.087303,30.248713,1
664,-75.569313,39.665858,1
665,-75.881758,45.366097,1
666,-97.097603,36.212558,1
667,-103.369122,43.662081,1
668,-79.506649,43.664172,1
669,-97.273987,32.748159,1
670,-88.427628,30.433975,1
671,-73.816832,41.107185,1
672,-87.010002,41.681119,1
673,-73.861513,40.810006,1
674,-88.653014,30.450697,1
675,-111.594369,35.130479,1
676,-96.723163,32.865047,1
677,-88.228662,30.675737,1
678,-83.626216,40.820484,1
679,-93.440819,35.891047,1
680,-98.542442,30.089317,1
681,-100.338888,47.185287,1
682,-85.177325,46.322858,1
683,-95.303109,32.470063,1
684,-96.874473,50.00392,1
685,-80.319091,42.9234,1
686,-97.801483,30.610972,1
687,-88.788972,33.26362,1
688,-97.987734,29.413394,1
689,-74.952046,38.932619,1
690,-98.819673,30.506489,1
691,-89.36138,43.402904,1
692,-77.803763,38.784675,1
693,-89.655487,43.561627,1
694,-105.159426,40.01828,1
695,-97.757643,32.872292,1
696,-89.037335,41.310967,1
697,-87.673099,42.04944,1
698,-87.746033,40.214988,1
699,-100.644883,47.2939,1
700,-81.971575,43.205761,1
701,-94.31392,35.176097,1
702,-73.701889,41.182484,1
703,-86.058032,31.919103,1
704,-85.475975,32.034936,1
705,-89.746128,43.238038,1
706,-89.304322,41.68832,1
707,-90.117351,41.916112,1
708,-97.491337,50.433479,1
709,-84.740928,45.413392,1
710,-93.039611,34.559805,1
711,-88.397895,36.212533,1
712,-89.669546,43.139134,1
713,-86.94756,46.047185,1
714,-98.387435,33.767091,1
715,-71.036215,43.544451,1
716,-81.841092,42.281513,1
717,-84.589817,46.027327,1
718,-89.06026,42.991708,1
719,-89.43964,43.030087,1
720,-80.29013,37.431217,1
721,-102.524449,39.747932,1
722,-93.197237,44.89918,1
723,-90.193356,44.074346,1
724,-98.673127,34.723192,1
725,-83.153611,34.868187,1
726,-89.90107,43.921028,1
727,-94.070514,41.307461,1
728,-92.361672,34.783233,1
729,-89.88816,41.442593,1
730,-92.65051,45.8842,1
731,-97.12475,33.266838,1
732,-88.83486,30.563369,1
733,-95.86205,41.406361,1
734,-96.858574,33.051674,1
735,-93.179092,34.069673,1
736,-98.24912,31.632348,1
737,-89.390882,43.69564,1
738,-76.804657,39.084813,1
739,-97.764491,29.653467,1
740,-99.922458,37.812276,1
741,-101.889127,33.623768,1
742,-98.35243,33.206131,1
743,-104.707,32.2316,1
744,-104.83333,32.33333,1
745,-111.617749,35.221097,1
746,-107.6286,32.0725,1
747,-93.759863,38.758095,1
748,-110.774111,37.17038,1
749,-104.37,36.9193,1
750,-104.699056,37.01025,1
751,-103.081417,36.366528,1
752,-103.491333,36.825917,1
753,-103.048972,36.808138,1
754,-103.6494,35.7075,1
755,-104.58693,36.02098,1
756,-106.463,35.299,1
757,-105.4225,35.5145,1
758,-107.0199,36.0005,1
759,-104.61929,32.140923,1
760,-106.174832,35.567461,1
761,-103.975636,36.776478,1
762,-105.545,32.77,1
763,-107.828,33.444,1
764,-104.272768,36.084233,1
765,-106.59461,35.82811,1
766,-105.300693,36.001837,1
767,-104.798,32.008,1
768,-106.637849,35.950844,1
769,-108.007128,35.106977,1
770,-108.778229,31.581976,1
771,-98.630034,29.617972,1
772,-97.158425,30.171147,1
773,-93.073745,44.951302,1
774,-97.716347,30.193442,1
775,-96.176687,41.269319,1
776,-98.141956,30.481971,1
777,-96.023108,41.25038,1
778,-97.358125,32.528167,1
779,-97.89505,30.338351,1
780,-97.154689,29.958037,1
781,-87.412612,41.607537,1
782,-77.945375,44.146297,1
783,-96.667275,34.408603,1
784,-74.833738,41.290737,1
785,-76.91604,38.971429,1
786,-96.374672,29.790905,1
787,-96.595319,33.734156,1
788,-101.679153,35.583758,1
789,-97.797851,32.593767,1
790,-87.903028,41.674547,1
791,-102.258682,50.482907,1
792,-101.850536,50.694963,1
793,-85.636887,45.123687,1
794,-97.027108,30.383032,1
795,-80.275126,44.524848,1
796,-102.883857,36.847013,1
797,-96.9954,30.6294,1
798,-81.397717,41.010423,1
799,-77.95285,44.763845,1
800,-96.560432,32.636088,1
801,-97.707212,33.351622,1
802,-74.295827,40.478019,1
803,-74.477284,40.618139,1
804,-97.682663,30.396122,1
805,-74.680949,40.567799,1
806,-98.241368,30.291855,1
807,-97.85252,30.491279,1
808,-87.806404,42.468104,1
809,-74.428229,40.384558,1
810,-81.743839,43.021231,1
811,-88.330679,42.420563,1
812,-98.5591,34.040558,1
813,-97.809984,32.743775,1
814,-96.90696,32.728596,1
815,-96.448212,32.929802,1
816,-96.831728,30.687149,1
817,-95.447515,29.660412,1
818,-97.222247,32.664064,1
819,-70.058139,41.672219,1
820,-97.922215,29.495767,1
821,-74.792562,40.238605,1
822,-97.548901,29.825534,1
823,-80.287656,43.334039,1
824,-82.689784,35.106057,1
825,-97.154636,33.13244,1
826,-109.766293,34.922212,1
827,-79.094754,44.646531,1
828,-73.984868,40.423459,1
829,-98.528775,29.553538,1
830,-80.354688,42.776619,1
831,-97.482419,32.933536,1
832,-89.807178,43.105489,1
833,-87.571547,41.686457,1
834,-111.704244,35.092771,1
835,-78.53551,44.13119,1
836,-74.113638,40.444899,1
837,-84.496173,45.28572,1
838,-90.752409,40.437462,1
839,-89.490686,42.703442,1
840,-90.793598,43.098956,1
841,-78.264658,45.539448,1
842,-106.718702,51.979362,1
843,-86.198688,42.706534,1
844,-97.139181,32.756512,1
845,-97.049639,33.709597,1
846,-95.834747,41.242396,1
847,-92.130398,46.074857,1
848,-87.854285,41.566778,1
849,-95.690741,33.81178,1
850,-97.182966,30.483278,1
851,-78.97849,35.779638,1
852,-94.34157,45.47652,1
853,-94.391157,45.593589,1
854,-89.933739,40.379244,1
855,-94.339189,30.585458,1
856,-93.557779,42.130678,1
857,-97.712209,30.662896,1
858,-87.698607,41.861941,1
859,-75.986896,39.924769,1
860,-96.730151,29.948767,1
861,-97.426191,32.70336,1
862,-80.088996,35.413696,1
863,-96.642586,32.957423,1
864,-97.303707,32.919201,1
865,-95.577872,29.766516,1
866,-97.972791,30.116964,1
867,-97.666338,29.809234,1
868,-79.224459,35.895782,1
869,-95.045216,29.39013,1
870,-96.719703,32.118222,1
871,-96.624841,32.822547,1
872,-95.79968,30.548631,1
873,-96.26399,30.134192,1
874,-97.68029,32.756185,1
875,-83.48705,42.706494,1
876,-92.72898,45.521317,1
877,-74.4529,39.8304,1
878,-100.502637,42.824978,1
879,-98.067636,30.618883,1
880,-72.291523,41.841842,1
881,-84.755973,45.840386,1
882,-96.772452,44.2709,1
883,-97.2719,49.8878,1
884,-100.753384,38.868583,1
885,-95.704609,29.878649,1
886,-85.171711,45.362976,1
887,-97.632306,32.623604,1
888,-96.649231,31.224775,1
889,-87.274135,41.619737,1
890,-106.223076,35.860217,1
891,-99.588959,29.831447,1
892,-97.284858,30.105614,1
893,-86.532808,36.102176,1
894,-95.47587,30.743544,1
895,-97.046639,28.029686,1
896,-97.910349,32.781264,1
897,-83.076173,42.818366,1
898,-72.352242,41.582269,1
899,-89.324544,41.206579,1
900,-97.206741,32.573559,1
901,-98.104907,32.09115,1
902,-97.70015,31.892207,1
903,-97.191109,30.335376,1
904,-72.516093,41.701823,1
905,-98.709665,29.783962,1
906,-101.669846,34.96128,1
907,-97.877069,33.458227,1
908,-92.845256,34.862069,1
909,-83.574293,38.837904,1
910,-74.596582,39.917378,1
911,-96.765043,33.759243,1
912,-93.676117,32.440753,1
913,-78.918687,36.069235,1
914,-72.96811,41.34036,1
915,-72.757495,41.244727,1
916,-95.675,31.65899,1
917,-88.03624,36.90159,1
918,-97.96339,31.398348,1
919,-87.831643,42.140556,1
920,-105.364621,39.654469,1
921,-87.776004,41.999585,1
922,-73.169461,40.699489,1
923,-110.800819,50.335334,1
