,X_WGS84,Y_WGS84,ascspe
270,-105.715303,33.368633,1
271,-112.996109,42.667784,1
272,-121.334498,50.623507,1
273,-118.027131,33.753734,1
274,-96.989915,50.909494,1
275,-121.979736,37.974507,1
276,-108.009453,38.569425,1
277,-100.005036,50.228395,1
278,-103.369112,43.761982,1
279,-117.292478,46.607637,1
280,-123.344475,39.625825,1
281,-120.554797,44.815445,1
282,-96.422924,36.846143,1
283,-119.670487,46.706056,1
284,-116.035609,50.529897,1
285,-105.096931,40.397172,1
286,-111.759931,39.821623,1
287,-110.000183,38.725199,1
288,-115.745081,49.783437,1
289,-103.265232,40.795585,1
290,-123.121113,45.526998,1
291,-97.253717,50.066845,1
292,-105.213775,40.088925,1
293,-119.450569,49.016689,1
294,-97.129789,49.886672,1
295,-111.94982,40.712017,1
296,-99.992257,49.850055,1
297,-104.886345,39.010378,1
298,-106.34619,37.37912,1
299,-103.275469,38.936487,1
300,-102.46108,39.76169,1
301,-102.15194,39.32056,1
302,-105.72325,37.97539,1
303,-107.94535,39.73775,1
304,-105.987202,37.172126,1
305,-102.938733,38.073875,1
306,-103.09044,37.139637,1
307,-108.603609,39.07178,1
308,-103.826778,39.315234,1
309,-103.50611,38.715,1
310,-102.513746,39.496487,1
311,-102.49611,38.54139,1
312,-103.107977,38.986351,1
313,-108.673152,40.619219,1
314,-108.972753,40.289402,1
315,-105.278409,39.98528,1
316,-106.748038,39.924709,1
317,-107.18773,38.48283,1
318,-106.025255,37.283897,1
319,-103.22906,37.27929,1
320,-119.311858,45.927508,1
321,-120.227291,39.22779,1
322,-104.748695,38.935017,1
323,-119.002097,46.205263,1
324,-112.374003,42.861702,1
325,-104.714699,44.583842,1
326,-110.576757,43.878232,1
327,-119.399839,49.943202,1
328,-114.011974,42.371005,1
329,-111.930881,41.072837,1
330,-105.5567,39.9464,1
331,-120.746465,50.770788,1
332,-105.09559,39.54862,1
333,-105.153289,40.606087,1
334,-120.661055,46.551963,1
335,-111.946308,41.502394,1
336,-110.541542,49.922255,1
337,-119.751329,37.702916,1
338,-111.726932,40.154404,1
339,-120.001667,37.828333,1
340,-107.23252,39.201109,1
341,-111.696953,40.77613,1
342,-120.397203,50.66642,1
343,-112.919746,49.816378,1
344,-104.21797,42.022028,1
345,-118.2398,37.0672,1
346,-117.9496,37.4606,1
347,-117.246706,46.781202,1
348,-108.226014,45.099383,1
349,-110.049942,50.740412,1
