,X_WGS84,Y_WGS84,liaasp
615,-142.16,64.41,0
616,-142.14,66.78,0
617,-142.14,62.82,0
618,-142.03,63.66,0
619,-141.99,62.02,0
620,-141.95,60.69,0
621,-141.8,65.76,0
622,-141.57,66.97,0
623,-141.42,68,0
624,-141.34,69.11,0
625,-141.3,64.73,0
626,-141,62.3,0
627,-141,61.3,0
628,-140.62,66.52,0
629,-140.43,67.73,0
630,-140.35,63.47,0
631,-140.31,60.96,0
632,-140.2,64.57,0
633,-140.16,65.37,0
634,-140.15646,69.160935,0
635,-139.78,66.75,0
636,-139.74,62.4,0
637,-139.57,64.02,0
638,-139.36,67.89,0
639,-139.29,68.84,0
640,-139.130221,61.388277,0
641,-138.79,66.55,0
642,-138.75,65.11,0
643,-138.56,61.99,0
644,-138.535538,61.018719,0
645,-138.52,68.23,0
646,-138.49,63.47,0
647,-138.07,68.72,0
648,-138.03,65.34,0
649,-137.88,68.08,0
650,-137.61,66.84,0
651,-137.519319,60.750653,0
652,-137.39,62.78,0
653,-137.06,60.37,0
654,-137.01197,61.38799,0
655,-136.96,68.04,0
656,-136.876678,62.591508,0
657,-136.77,67.01,0
658,-136.58,65.07,0
659,-136.51,66.25,0
660,-136.48,60.79,0
661,-136.16,63.81,0
662,-136.123352,61.898792,0
663,-135.86,66.9,0
664,-135.63,65.6,0
665,-135.59903,59.271254,0
666,-135.48,67.85,0
667,-135.410692,60.778533,0
668,-135.25,62.1,0
669,-135.153794,60.953972,0
670,-135,63,0
671,-134.881789,60.594628,0
672,-134.87,66.82,0
673,-134.72,67.81,0
674,-134.68,65.18,0
675,-134.64,65.95,0
676,-134.638978,60.173644,0
677,-134.53,63.93,0
678,-134.49,68.5,0
679,-134.41,69.03,0
680,-133.77,61.45,0
681,-133.72,59.53,0
682,-133.69,68.31,0
683,-133.6,66.84,0
684,-133.54,67.43,0
685,-133.42,63.74,0
686,-133.354715,62.238491,0
687,-133.35,64.88,0
688,-133,66.44,0
689,-132.62,65.98,0
690,-132.59,59.93,0
691,-132.51,67.85,0
692,-132.509492,61.969454,0
693,-132.47,63.09,0
694,-132.39,58.48,0
695,-132.28,64.31,0
696,-132.13,66.75,0
697,-131.98,68.53,0
698,-131.94,59.36,0
699,-131.84,56.65,0
700,-131.82,65.41,0
701,-131.75,61.3,0
702,-131.6,62.71,0
703,-131.52,67.51,0
704,-131.23,63.55,0
705,-131.16,57.9,0
706,-131.14,66.36,0
707,-130.87,57.15,0
708,-130.8,64.77,0
709,-130.76,61.3,0
710,-130.76,67.62,0
711,-130.72,68.38,0
712,-130.705506,58.179325,0
713,-130.68,60.39,0
714,-130.62,65.74,0
715,-130.57,62.37,0
716,-130.42,66.82,0
717,-129.88,60.43,0
718,-129.85,59.29,0
719,-129.69,64.54,0
720,-129.62,68.95,0
721,-129.59,57.51,0
722,-129.58,63.36,0
723,-129.54,65.53,0
724,-129.44,68.02,0
725,-129.068056,59.370536,0
726,-129.05,63.15,0
727,-129.01,66.71,0
728,-128.85,61.76,0
729,-128.82,56.01,0
730,-128.74,56.88,0
731,-128.63,54.33,0
732,-128.55,60.77,0
733,-128.47,65.91,0
734,-128.41,53.16,0
735,-128.4,67.73,0
736,-128.25,64.99,0
737,-128.21,54.3,0
738,-128.09,63.97,0
739,-128.02,67.24,0
740,-127.86,68.12,0
741,-127.67,55.25,0
742,-127.64,62.94,0
743,-127.6,61.91,0
744,-127.52,69.71,0
745,-127.48,66.76,0
746,-127.48,60.69,0
747,-127.37,56.09,0
748,-127.24,69.04,0
749,-127.14,67.43,0
750,-127.106842,54.772658,0
751,-126.91,63.89,0
752,-126.72,66.17,0
753,-126.61,56.77,0
754,-126.49,59.32,0
755,-126.46,62.44,0
756,-126.38,55.93,0
757,-126.23,68.88,0
758,-126.15,67.05,0
759,-125.92,57.84,0
760,-125.904,49.164,0
761,-125.88,51.4,0
762,-125.81,64.31,0
763,-125.77,67.66,0
764,-125.75,54.05,0
765,-125.54,68.19,0
766,-125.5,62.25,0
767,-125.47,65.87,0
768,-125.43,66.97,0
769,-125.31,55.44,0
770,-125.28,59.62,0
771,-125.24,60.77,0
772,-125.12,63.2,0
773,-125.04,56.75,0
774,-125.01,68.46,0
775,-124.93,64.38,0
776,-124.91,50.25,0
777,-124.89,72.38,0
778,-124.8,49.25,0
779,-124.67,66.52,0
780,-124.63,62.1,0
781,-124.627,54.1,0
782,-124.509,42.74,0
783,-124.426383,49.617527,0
784,-124.3867,42.2581,0
785,-124.26,54.46,0
786,-124.25,57.95,0
787,-124.161018,52.05067,0
788,-124.13,64.84,0
789,-124.13,60.23,0
790,-124.0678,42.5567,0
791,-124.06,68.5,0
792,-124.05469,49.6126,0
793,-123.98,63.28,0
794,-123.95,67.39,0
795,-123.94,49.17,0
796,-123.8941,45.8196,0
797,-123.83,53.19,0
798,-123.8226,41.1542,0
799,-123.79,59.13,0
800,-123.77485,42.337437,0
801,-123.75,56.2,0
802,-123.7386,43.907,0
803,-123.699952,42.646351,0
804,-123.683556,45.964163,0
805,-123.68,61.07,0
806,-123.63,72.41,0
807,-123.625162,42.06577,0
808,-123.583579,48.312983,0
809,-123.558045,40.787237,0
810,-123.5476,44.4985,0
811,-123.5344,42.3644,0
812,-123.530249,48.533428,0
813,-123.4941,45.6552,0
814,-123.474147,41.379341,0
815,-123.460064,48.923825,0
816,-123.400901,40.321408,0
817,-123.3652,47.924828,0
818,-123.344475,39.625825,0
819,-123.3142,42.6322,0
820,-123.3,55.51,0
821,-123.2972,43.4222,0
822,-123.281148,47.046643,0
823,-123.2695,48.7489,0
824,-123.266638,44.184995,0
825,-123.2659,44.7145,0
826,-123.26,60.04,0
827,-123.25,49.25,0
828,-123.243544,41.667947,0
829,-123.24,64.88,0
830,-123.2249,44.9191,0
831,-123.22,73.64,0
832,-123.191537,40.737347,0
833,-123.18,67.73,0
834,-123.137222,41.298889,0
835,-123.121113,45.526998,0
836,-123.08068,39.093262,0
837,-123.07,62.21,0
838,-123.062272,47.872837,0
839,-123.057644,40.477545,0
840,-123.050408,39.907344,0
841,-123.04,51.72,0
842,-123.0342,43.2822,0
843,-123.03,73.14,0
844,-123.015586,44.787865,0
845,-123.01222,40.98194,0
846,-122.99,69.14,0
847,-122.9836,44.3936,0
848,-122.979792,42.244999,0
849,-122.970456,44.010117,0
850,-122.965655,39.403011,0
851,-122.9643,42.4838,0
852,-122.95,63.89,0
853,-122.949722,39.712222,0
854,-122.94504,38.648131,0
855,-122.894468,41.375074,0
856,-122.882826,53.979374,0
857,-122.869458,45.849022,0
858,-122.813805,40.856055,0
859,-122.808024,47.046385,0
860,-122.8,71.73,0
861,-122.79,51.05,0
862,-122.777051,45.012756,0
863,-122.75728,38.93778,0
864,-122.755783,49.121673,0
865,-122.743526,38.063216,0
866,-122.71187,41.094106,0
867,-122.711294,45.385892,0
868,-122.709717,39.311762,0
869,-122.700409,42.203538,0
870,-122.697,44.1637,0
871,-122.666082,45.669056,0
872,-122.657231,38.519282,0
873,-122.6425,41.3575,0
874,-122.6247,41.6788,0
875,-122.617224,42.031167,0
876,-122.61,72.8,0
877,-122.603508,38.242754,0
878,-122.59828,40.28876,0
879,-122.585941,37.862469,0
880,-122.57,66.97,0
881,-122.559589,51.836555,0
882,-122.54,52.2,0
883,-122.53,68.96,0
884,-122.520337,47.306235,0
885,-122.497531,48.757848,0
886,-122.49,52.98,0
887,-122.420833,39.0375,0
888,-122.415998,40.998395,0
889,-122.407769,45.536741,0
890,-122.39972,37.681461,0
891,-122.38,58.28,0
892,-122.377895,47.630419,0
893,-122.37745,47.809217,0
894,-122.37711,38.480826,0
895,-122.366274,42.138456,0
896,-122.356095,41.289881,0
897,-122.343009,47.164103,0
898,-122.34,57.27,0
899,-122.331667,41.495556,0
900,-122.301565,47.405446,0
901,-122.3,73.83,0
902,-122.2855,51.747647,0
903,-122.28,52.35,0
904,-122.277481,51.409261,0
905,-122.274444,38.898611,0
906,-122.274117,51.938961,0
907,-122.27,55.6,0
908,-122.258775,37.879917,0
909,-122.23,60.12,0
910,-122.22,61.19,0
911,-122.2081,44.0402,0
912,-122.19,63.7,0
913,-122.186286,39.429608,0
914,-122.181667,40.276667,0
915,-122.15,65.07,0
916,-122.14,55.98,0
917,-122.138533,49.37745,0
918,-122.136854,38.476327,0
919,-122.131944,41.865,0
920,-122.131107,38.16916,0
921,-122.120085,52.121841,0
922,-122.114005,37.380805,0
923,-122.08,62.63,0
924,-122.063428,37.676535,0
925,-122.052427,36.973232,0
926,-122.0489,44.2767,0
927,-122.04,66.06,0
928,-122.04,72.95,0
929,-122.03038,42.13195,0
930,-122.013,37.886883,0
931,-122.00902,41.239201,0
932,-122.008786,49.096772,0
933,-122,68.23,0
934,-121.999633,38.325198,0
935,-121.989526,38.623347,0
936,-121.94,50.69,0
937,-121.93335,36.61074,0
938,-121.93082,40.82112,0
939,-121.93,54.6,0
940,-121.928833,51.08197,0
941,-121.9118403,41.58392565,0
942,-121.9068,42.537,0
943,-121.89785,37.160417,0
944,-121.89314,36.33366,0
945,-121.8912,45.6431,0
946,-121.89,67.7,0
947,-121.88,51.4,0
948,-121.865984,39.420297,0
949,-121.833743,39.733701,0
950,-121.820556,39.205556,0
951,-121.813837,37.53168,0
952,-121.7806,42.225,0
953,-121.745,49.286,0
954,-121.692778,36.572778,0
955,-121.691033,50.834025,0
956,-121.671267,38.574877,0
957,-121.66,69.11,0
958,-121.65,56.39,0
959,-121.6242,44.5596,0
960,-121.62395,40.78109,0
961,-121.620833,39.5975,0
962,-121.61,36.29,0
963,-121.585554,38.938754,0
964,-121.58,50.23,0
965,-121.56495,41.946267,0
966,-121.564,44.2983,0
967,-121.54,53.12,0
968,-121.5203,45.7056,0
969,-121.5132,37.5868,0
970,-121.51,66.82,0
971,-121.504722,40.103889,0
972,-121.49968,50.638162,0
973,-121.480056,51.221864,0
974,-121.473611,39.856944,0
975,-121.473451,39.458855,0
976,-121.4699,56.2131,0
977,-121.456795,41.110398,0
978,-121.446928,43.88523,0
