,X_WGS84,Y_WGS84,liapun
801,-139.36,67.89,0
802,-139.29,68.84,0
803,-138.79,66.55,0
804,-138.75,65.11,0
805,-138.56,61.99,0
806,-138.52,68.23,0
807,-138.49,63.47,0
808,-138.442567,61.173628,0
809,-138.07,68.72,0
810,-138.03,65.34,0
811,-137.88,68.08,0
812,-137.681824,60.786453,0
813,-137.61,66.84,0
814,-137.39,62.78,0
815,-137.06,60.37,0
816,-137.01197,61.38799,0
817,-136.96,68.04,0
818,-136.857467,62.598422,0
819,-136.77,67.01,0
820,-136.58,65.07,0
821,-136.51,66.25,0
822,-136.48,60.79,0
823,-136.16,63.81,0
824,-136.123352,61.898792,0
825,-135.86,66.9,0
826,-135.71134,60.857149,0
827,-135.63,65.6,0
828,-135.59903,59.271254,0
829,-135.48,67.85,0
830,-135.25,62.1,0
831,-135.153794,60.953972,0
832,-135.026225,60.661583,0
833,-135,63,0
834,-134.87,66.82,0
835,-134.72,67.81,0
836,-134.68,65.18,0
837,-134.64,65.95,0
838,-134.638978,60.173644,0
839,-134.53,63.93,0
840,-134.49,68.5,0
841,-134.41,69.03,0
842,-133.77,61.45,0
843,-133.72,59.53,0
844,-133.69,68.31,0
845,-133.6,66.84,0
846,-133.54,67.43,0
847,-133.42,63.74,0
848,-133.354715,62.238491,0
849,-133.35,64.88,0
850,-133,66.44,0
851,-132.62,65.98,0
852,-132.59,59.93,0
853,-132.51,67.85,0
854,-132.509492,61.969454,0
855,-132.47,63.09,0
856,-132.39,58.48,0
857,-132.28,64.31,0
858,-132.13,66.75,0
859,-131.98,68.53,0
860,-131.94,59.36,0
861,-131.84,56.65,0
862,-131.82,65.41,0
863,-131.75,61.3,0
864,-131.6,62.71,0
865,-131.52,67.51,0
866,-131.23,63.55,0
867,-131.14,66.36,0
868,-130.971394,58.013372,0
869,-130.87,57.15,0
870,-130.8,64.77,0
871,-130.76,67.62,0
872,-130.72,68.38,0
873,-130.705506,58.179325,0
874,-130.68,60.39,0
875,-130.62,65.74,0
876,-130.57,62.37,0
877,-130.42,66.82,0
878,-129.88,60.43,0
879,-129.85,59.29,0
880,-129.69,64.54,0
881,-129.62,68.95,0
882,-129.59,57.51,0
883,-129.58,63.36,0
884,-129.54,65.53,0
885,-129.44,68.02,0
886,-129.068056,59.370536,0
887,-129.05,63.15,0
888,-129.01,66.71,0
889,-128.85,61.76,0
890,-128.82,56.01,0
891,-128.74,56.88,0
892,-128.63,54.33,0
893,-128.55,60.77,0
894,-128.47,65.91,0
895,-128.41,53.16,0
896,-128.4,67.73,0
897,-128.25,64.99,0
898,-128.21,54.3,0
899,-128.09,63.97,0
900,-128.02,67.24,0
901,-127.86,68.12,0
902,-127.67,55.25,0
903,-127.64,62.94,0
904,-127.6,61.91,0
905,-127.52,69.71,0
906,-127.48,66.76,0
907,-127.37,56.09,0
908,-127.24,69.04,0
909,-127.14,67.43,0
910,-127.106842,54.772658,0
911,-126.91,63.89,0
