,X_WGS84,Y_WGS84,dalpur
329,-96.6365,45.35028,1
330,-102.35794,45.52022,1
331,-86.39027,35.84562,1
332,-102.99991,42.7425,1
333,-110.50355,48.02376,1
334,-101.271531,43.774,1
335,-95.55216,36.488718,1
336,-109.57699,47.06238,1
337,-98.76546,43.52702,1
338,-100.95766,41.72665,1
339,-109.45008,48.58979,1
340,-102.08618,41.09213,1
341,-102.13415,41.31688,1
342,-99.02413,40.69944,1
343,-98.97778,42.64729,1
344,-96.62315,36.69495,1
345,-104.95222,41.7864,1
346,-98.80922,41.71155,1
347,-97.1582,45.09564,1
348,-102.16374,48.33972,1
349,-110.21826,47.28386,1
350,-103.71533,42.41994,1
351,-96.968236,42.787402,1
352,-94.844464,40.221899,1
353,-99.72809,41.93881,1
354,-103.88028,36.87278,1
355,-96.75469,33.91165,1
356,-97.2645,42.52833,1
357,-95.358626,40.024129,1
358,-97.313561,45.348523,1
359,-103.13223,45.58342,1
360,-103.714116,41.820692,1
361,-109.69502,48.55,1
362,-101.38364,41.55199,1
363,-96.01143,36.48943,1
364,-98.87139,41.56235,1
365,-92.135134,35.936669,1
366,-101.35481,42.0418,1
367,-102.763194,46.399444,1
368,-98.51917,40.0599,1
369,-103.97417,45.1738,1
370,-102.26389,40.91587,1
371,-96.09088,40.65718,1
372,-97.484491,41.532289,1
373,-100.42532,44.56266,1
374,-99.961326,44.205137,1
375,-100.66859,42.5685,1
376,-105.08417,38.13657,1
377,-104.44977,45.81717,1
378,-98.587487,47.074348,1
379,-102.99991,42.64109,1
380,-101.16228,42.92777,1
381,-104.18827,47.1153,1
382,-105.76251,47.28693,1
383,-101.074715,47.10873,1
384,-100.03309,47.96106,1
385,-98.78656,42.47556,1
386,-103.6287,42.8416,1
387,-103.01419,42.32161,1
388,-97.770346,46.503023,1
389,-100.12293,42.90446,1
390,-101.52322,42.07092,1
391,-104.5517363,46.06350194,1
392,-87.883567,32.825884,1
393,-100.550236,41.932029,1
394,-105.582359,44.450197,1
395,-96.82435,41.03144,1
396,-100.347255,44.07633,1
397,-105.03497,46.42996,1
398,-97.554749,45.132633,1
399,-100.72987,40.73774,1
400,-105.28896,47.31093,1
401,-98.551998,40.775337,1
402,-108.32023,47.00276,1
403,-104.45968,48.56217,1
404,-102.46306,42.92282,1
405,-91.072913,38.248806,1
406,-99.1515,43.56078,1
407,-102.74428,41.16975,1
408,-102.67602,47.85945,1
409,-103.579684,41.583907,1
410,-96.27787,41.05388,1
411,-100.782131,40.021902,1
412,-105.248908,35.508975,1
413,-98.16164,41.98332,1
414,-98.881095,48.026843,1
415,-106.41147,45.32162,1
416,-98.892767,43.388998,1
417,-107.51334,46.06399,1
418,-101.30611,46.14061,1
419,-97.05393,41.97239,1
420,-100.05813,43.3258,1
421,-96.2486,44.59346,1
422,-101.773464,43.998208,1
423,-96.98051,40.62778,1
424,-101.21415,47.07293,1
425,-105.01157,36.17556,1
426,-98.94786,40.60007,1
427,-96.29335,40.21995,1
428,-95.15339,35.66342,1
429,-99.08056,40.61557,1
430,-104.5169,48.17341,1
431,-103.13777,41.46239,1
432,-99.77083,46.39251,1
433,-103.70154,41.23581,1
434,-103.45451,42.71375,1
435,-104.49978,47.10509,1
436,-98.12357495,47.47384037,1
437,-102.01722,42.91929,1
438,-97.221019,45.74247,1
439,-100.79154,45.33708,1
440,-100.65819,43.03061,1
