,X_WGS84,Y_WGS84,verhas
303,-88.159001,42.895936,1
304,-81.370689,44.452105,1
305,-73.962683,40.956283,1
306,-75.24581,45.159097,1
307,-74.854003,40.751231,1
308,-105.10771,39.866787,1
309,-93.499052,44.984057,1
310,-78.619979,44.238441,1
311,-93.92569,46.128489,1
312,-86.196093,44.19855,1
313,-87.0865,41.639585,1
314,-66.953438,46.010195,1
315,-79.38656,39.45513,1
316,-75.217393,38.373936,1
317,-68.704605,44.776537,1
318,-94.202029,46.650577,1
319,-89.819008,43.532055,1
320,-72.516931,42.429007,1
321,-78.5545,40.683888,1
322,-75.87307,42.166114,1
323,-105.168528,40.637477,1
324,-83.02766,42.039089,1
325,-105.220477,39.898332,1
326,-93.213167,44.93948,1
327,-88.761849,41.931902,1
328,-75.713611,40.170239,1
329,-92.997132,45.173365,1
330,-77.099278,44.284902,1
331,-93.372658,44.828578,1
332,-105.043247,39.652012,1
333,-61.80627,45.590577,1
334,-82.824615,42.036077,1
335,-91.145578,44.911707,1
336,-92.814049,45.280931,1
337,-73.804865,43.051291,1
338,-105.778,36.2931,1
339,-73.912337,45.844205,1
340,-77.733878,43.213643,1
341,-77.479131,43.00837,1
342,-111.804906,40.391736,1
343,-78.517144,39.98426,1
344,-79.717328,44.322769,1
345,-77.287689,41.827025,1
346,-93.403248,45.574758,1
347,-105.071846,40.152408,1
348,-93.796365,46.194587,1
349,-88.909432,37.809559,1
350,-89.422698,43.017485,1
351,-80.430627,37.229148,1
352,-71.846627,42.242694,1
353,-75.510423,42.679797,1
354,-88.016048,43.203401,1
355,-83.025721,42.635229,1
356,-72.510681,45.862171,1
357,-79.651417,45.034973,1
358,-72.551273,41.369384,1
359,-83.476344,42.415549,1
360,-87.898187,42.990634,1
361,-73.061522,41.780666,1
362,-91.01172,39.180875,1
363,-94.82566,45.824272,1
364,-77.026059,43.241068,1
365,-86.220471,42.287684,1
366,-83.924042,41.862318,1
367,-87.87108,41.771891,1
368,-71.071912,42.259915,1
369,-92.086266,42.867405,1
370,-76.8508,40.96536,1
371,-78.25362,42.39229,1
372,-78.83975,41.09451,1
373,-82.81073,40.40089,1
374,-99.774635,36.828648,1
375,-83.155853,42.41545,1
376,-79.23226,41.08118,1
377,-92.524373,42.740985,1
378,-89.26247,35.498858,1
379,-88.125383,35.660245,1
380,-75.493588,45.504376,1
381,-76.986465,38.871981,1
382,-76.380727,45.334795,1
383,-89.310881,40.771662,1
384,-100.18411,35.884974,1
385,-111.64737,40.244408,1
386,-75.384914,45.349582,1
387,-88.169929,41.738951,1
388,-77.908314,41.830937,1
389,-88.182621,42.356054,1
390,-79.910453,44.1511,1
391,-72.818676,43.194329,1
392,-94.632032,41.241392,1
393,-85.834145,42.1062,1
394,-73.587638,40.727587,1
395,-83.217056,39.913934,1
396,-83.945558,46.063494,1
397,-77.708382,43.310724,1
398,-74.725115,40.293019,1
399,-72.609141,45.372492,1
400,-66.624962,45.958297,1
401,-88.095583,42.25898,1
402,-70.71849,43.40949,1
403,-88.367953,40.213045,1
404,-93.593266,38.601183,1
405,-87.55949,41.671497,1
406,-83.060397,46.175377,1
407,-93.511556,38.534144,1
408,-88.048997,41.798672,1
409,-88.73285,41.829509,1
410,-77.110645,38.754449,1
411,-79.014362,41.954357,1
412,-77.073647,39.411894,1
413,-95.518372,39.670013,1
414,-78.384236,42.663463,1
415,-95.263669,38.946138,1
416,-72.315704,41.770557,1
417,-103.70076,38.9028,1
418,-103.84139,38.73662,1
419,-104.996028,39.46723,1
420,-103.43028,38.92306,1
421,-102.98833,39.29472,1
422,-105.212214,40.146651,1
423,-104.393345,38.456522,1
424,-102.74321,37.018279,1
425,-103.092634,37.139249,1
426,-74.486177,40.420652,1
427,-74.960069,38.958896,1
428,-90.084776,40.356925,1
429,-76.391671,39.546313,1
430,-88.605877,43.473145,1
431,-71.6007,42.26817,1
