,X_WGS84,Y_WGS84,echang
652,-125.5,62.25,0
653,-125.47,65.87,0
654,-125.43,66.97,0
655,-125.31,55.44,0
656,-125.28,59.62,0
657,-125.24,60.77,0
658,-125.12,63.2,0
659,-125.04,56.75,0
660,-125.01,68.46,0
661,-124.93,64.38,0
662,-124.91,50.25,0
663,-124.89,72.38,0
664,-124.67,66.52,0
665,-124.65,49.3,0
666,-124.63,62.1,0
667,-124.627,54.1,0
668,-124.509,42.74,0
669,-124.426383,49.617527,0
670,-124.3867,42.2581,0
671,-124.26,54.46,0
672,-124.25,57.95,0
673,-124.13,60.23,0
674,-124.06,68.5,0
675,-124.05469,49.6126,0
676,-124.047896,42.646055,0
677,-123.98,63.28,0
678,-123.95,67.39,0
679,-123.94,49.17,0
680,-123.8941,45.8196,0
681,-123.83,53.19,0
682,-123.8226,41.1542,0
683,-123.7505,42.2952,0
684,-123.7386,43.907,0
685,-123.7233,45.9888,0
686,-123.68,61.07,0
687,-123.63,72.41,0
688,-123.625162,42.06577,0
689,-123.583579,48.312983,0
690,-123.5833,42.5933,0
691,-123.558045,40.787237,0
692,-123.5344,42.3644,0
693,-123.530249,48.533428,0
694,-123.4941,45.6552,0
695,-123.474147,41.379341,0
696,-123.460064,48.923825,0
697,-123.3652,47.924828,0
698,-123.344475,39.625825,0
699,-123.322428,44.476342,0
700,-123.3142,42.6322,0
701,-123.3,55.51,0
702,-123.2972,43.4222,0
703,-123.281148,47.046643,0
704,-123.278889,40.391389,0
705,-123.270659,48.574565,0
706,-123.2695,48.7489,0
707,-123.266638,44.184995,0
708,-123.2659,44.7145,0
709,-123.26,60.04,0
710,-123.25,49.25,0
711,-123.243544,41.667947,0
712,-123.24,64.88,0
713,-123.2249,44.9191,0
714,-123.22,73.64,0
715,-123.191537,40.737347,0
716,-123.18,67.73,0
717,-123.1695,42.4358,0
718,-123.1616,42.2513,0
719,-123.137222,41.298889,0
720,-123.121113,45.526998,0
721,-123.08068,39.093262,0
722,-123.07,62.21,0
723,-123.062272,47.872837,0
724,-123.057644,40.477545,0
725,-123.050408,39.907344,0
726,-123.04,51.72,0
727,-123.0342,43.2822,0
728,-123.03,73.14,0
729,-123.01222,40.98194,0
730,-122.99,66.1,0
731,-122.9836,44.3936,0
732,-122.965655,39.403011,0
733,-122.9592,44.7636,0
734,-122.95,63.89,0
735,-122.949722,39.712222,0
