,X_WGS84,Y_WGS84,symnov
510,-77.678314,43.289309,1
511,-89.754057,43.29172,1
512,-84.163073,43.311955,1
513,-89.310243,43.341954,1
514,-70.544548,43.344287,1
515,-80.012604,43.345211,1
516,-79.859063,43.348477,1
517,-78.48513,43.374853,1
518,-80.972816,43.375296,1
519,-80.27665,43.377392,1
520,-80.145139,43.387762,1
521,-80.48236,43.398126,1
522,-79.755042,43.401958,1
523,-89.671587,43.406092,1
524,-81.711851,43.407351,1
525,-88.097865,43.427696,1
526,-85.92991,43.44535,1
527,-76.303643,43.449901,1
528,-80.036,43.462778,1
529,-80.220353,43.462863,1
530,-80.612495,43.464425,1
531,-87.941625,43.475075,1
532,-88.602581,43.475538,1
533,-72.434083,43.499745,1
534,-79.860173,43.502449,1
535,-73.176727,43.510584,1
536,-80.386537,43.517247,1
537,-79.668468,43.519056,1
538,-72.290351,43.522787,1
539,-94.90439,43.522882,1
540,-92.519043,43.536578,1
541,-80.153717,43.539745,1
542,-70.353609,43.545309,1
543,-89.638566,43.556712,1
544,-72.760618,43.56515,1
545,-90.130834,43.569287,1
546,-79.940929,43.572307,1
547,-73.402275,43.573525,1
548,-79.785266,43.581732,1
549,-79.512645,43.591629,1
550,-72.562088,43.601312,1
551,-84.763579,43.605314,1
552,-70.449976,43.606394,1
553,-80.565225,43.606945,1
554,-89.389211,43.614643,1
555,-79.651589,43.617089,1
556,-72.955441,43.621041,1
557,-80.346541,43.621676,1
558,-91.382423,43.623103,1
559,-79.323721,43.636138,1
560,-92.219269,43.637724,1
561,-73.268792,43.638173,1
562,-72.410636,43.642835,1
563,-82.64942,43.66196,1
564,-79.928241,43.670286,1
565,-72.807617,43.674667,1
566,-89.816666,43.675446,1
567,-73.14261,43.687298,1
568,-80.248954,43.694825,1
569,-93.438616,43.694883,1
570,-72.303805,43.700873,1
571,-70.324326,43.702437,1
572,-79.23312,43.709673,1
573,-72.992291,43.714384,1
574,-79.794794,43.721184,1
575,-79.608333,43.724337,1
576,-72.614076,43.732296,1
577,-92.839221,43.739545,1
578,-79.482481,43.740597,1
