SN,X_WGS84,Y_WGS84,forb
156,-121.5419,45.6272,1
157,-121.49968,50.638162,1
158,-121.479003,51.222428,1
159,-121.473611,39.856944,1
160,-121.4699,56.2131,1
161,-121.456795,41.110398,1
162,-121.446928,43.88523,1
163,-121.425833,39.752222,1
164,-121.416111,41.103056,1
165,-121.405,42.1989,1
166,-121.4,50.88,1
167,-121.374722,40.418889,1
168,-121.37376,50.42215,1
169,-121.3692,44.7309,1
170,-121.364794,38.056627,1
171,-121.34,50.42,1
172,-121.334498,50.623507,1
173,-121.328611,39.622222,1
174,-121.315732,45.713758,1
175,-121.311737,38.617461,1
176,-121.293056,39.47,1
177,-121.29,51.65,1
178,-121.2823,56.2564,1
179,-121.280227,50.72287,1
180,-121.264558,46.939861,1
181,-121.261166,44.09145,1
182,-121.25,51.47,1
183,-121.2452,39.363883,1
184,-121.232483,46.643457,1
185,-121.225561,51.811554,1
186,-121.2239,46.800563,1
187,-121.1775,45.5947,1
188,-121.1675,41.710278,1
189,-121.140581,44.368246,1
190,-121.130203,38.691342,1
191,-121.1283,44.6336,1
192,-121.12039,46.98493,1
193,-121.115556,40.025608,1
194,-121.10138,44.41893,1
195,-121.09149,41.465929,1
196,-121.0903658,40.58820816,1
197,-121.0888,56.2344,1
198,-121.08,40.706389,1
199,-121.062248,39.260831,1
200,-121.055615,38.903861,1
201,-121.03642,50.765003,1
202,-121.007,42.564,1
203,-120.969259,42.372971,1
204,-120.966902,40.039924,1
205,-120.94,52.51,1
206,-120.935227,39.937527,1
207,-120.92,56.45,1
208,-120.9175,40.706944,1
209,-120.903774,41.306448,1
210,-120.895143,44.321313,1
211,-120.894188,40.993092,1
212,-120.85,56.25,1
213,-120.86,56.25,1
214,-120.8497,42.838,1
215,-120.84277,50.613897,1
216,-120.829913,39.018327,1
217,-120.824668,45.516774,1
218,-120.821687,38.61815,1
219,-120.81533,46.66595,1
220,-120.807652,47.12534,1
221,-120.803,42.7098,1
222,-120.79,50.11,1
223,-120.777743,49.067363,1
224,-120.777403,50.106155,1
225,-120.760553,44.432767,1
226,-120.757222,40.530833,1
227,-120.746465,50.770788,1
228,-120.745492,40.973186,1
229,-120.734431,40.40675,1
230,-120.72,41.076944,1
231,-120.7025,40.639444,1
232,-120.688573,41.609792,1
233,-120.687422,46.871393,1
234,-120.674444,40.31,1
235,-120.670983,38.289019,1
236,-120.67,56.14,1
237,-120.671,50.17,1
238,-120.662064,44.357361,1
239,-120.661055,46.551963,1
240,-120.645303,38.424775,1
241,-120.616606,40.36635,1
242,-120.589611,38.616117,1
243,-120.580101,47.469961,1
244,-120.570556,39.470833,1
245,-120.561635,49.914007,1
246,-120.554797,44.815445,1
247,-120.546735,45.301646,1
248,-120.545,42.6939,1
249,-120.546,42.6939,1
250,-120.528825,44.509597,1
251,-120.527809,38.463373,1
252,-120.524809,50.719975,1
253,-120.511313,47.535899,1
254,-120.521,49.46,1
255,-120.51,50.16,1
256,-120.507,46.693979,1
257,-120.504347,46.859694,1
258,-120.5,51,1
259,-120.45805,39.801667,1
260,-120.455978,39.638092,1
261,-120.448889,40.006389,1
262,-120.438241,50.791924,1
263,-120.4269,44.3964,1
264,-120.41951,46.48721,1
265,-120.4054,45.5842,1
266,-120.397203,50.66642,1
267,-120.397,44.4832,1
268,-120.368611,39.894444,1
269,-120.362628,38.764675,1
270,-120.3568,44.4833,1
271,-120.3485,44.3914,1
272,-120.33,50.38,1
273,-120.329969,46.310582,1
274,-120.32,50.67,1
275,-120.328,50.67,1
276,-120.319195,47.443564,1
277,-120.313479,46.882418,1
278,-120.27,50.25,1
279,-120.233928,39.433765,1
280,-120.227291,39.22779,1
281,-120.214254,38.514868,1
282,-120.2128,44.9991,1
283,-120.21288,44.9991,1
284,-120.209075,42.106235,1
285,-120.199444,39.923611,1
286,-120.19077,48.518824,1
287,-120.19,49.07,1
288,-120.173425,41.9743,1
289,-120.17,50.67,1
290,-120.161055,48.48983,1
291,-120.1507,42.3162,1
292,-120.144551,56.087261,1
293,-120.14,55.72,1
294,-120.146,55.72,1
295,-120.141,55.72,1
296,-120.13662,49.370997,1
297,-120.133789,38.111795,1
298,-120.123086,39.184302,1
299,-120.11809,39.30375,1
300,-120.1,38.6736,1
301,-120.061836,50.848505,1
302,-120.048884,41.202275,1
303,-120.0474,44.5681,1
304,-120.029517,40.403146,1
305,-120.023333,38.916296,1
306,-120.0072,44.7978,1
307,-120.00278,49.18222,1
308,-120.001667,37.828333,1
309,-120,56.15,1
310,-119.998036,39.514906,1
311,-119.984709,38.688264,1
312,-119.981195,47.210583,1
313,-119.966154,38.938315,1
314,-119.9589,45.8131,1
315,-119.953453,46.920655,1
316,-119.936165,47.020415,1
317,-119.920797,42.928202,1
318,-119.90491,41.850641,1
319,-119.888542,47.921158,1
320,-119.854095,37.879038,1
321,-119.846366,39.443258,1
322,-119.846107,38.69743,1
323,-119.844038,39.492142,1
324,-119.84021,48.654599,1
325,-119.83307,42.392373,1
326,-119.824717,38.997811,1
327,-119.82063,46.83324,1
328,-119.81675,38.547342,1
329,-119.813582,38.873167,1
330,-119.784675,39.414222,1
331,-119.77,49.18,1
332,-119.751329,37.702916,1
333,-119.74,49.77,1
334,-119.739026,38.894189,1
335,-119.733564,38.623564,1
336,-119.733162,39.53277,1
337,-119.729103,49.854133,1
338,-119.7262,42.5,1
339,-119.707064,39.176387,1
340,-119.7038,44.5421,1
341,-119.697503,45.847647,1
342,-119.684144,49.015506,1
343,-119.683123,39.624646,1
344,-119.675535,49.114218,1
345,-119.670487,46.706056,1
346,-119.67,49.6,1
347,-119.661157,37.537027,1
348,-119.647771,38.334492,1
349,-119.6275,44.1843,1
350,-119.622248,49.840265,1
351,-119.594017,50.460625,1
352,-119.593497,37.743747,1
353,-119.58,49.48,1
354,-119.59,49.6,1
355,-119.592,49.07,1
356,-119.61,49.48,1
357,-119.582312,49.351617,1
358,-119.579042,49.279969,1
359,-119.574777,49.853789,1
360,-119.56,49.32,1
361,-119.555917,49.054958,1
362,-119.55365,49.213572,1
363,-119.550362,39.275763,1
364,-119.55,49.18,1
365,-119.542555,37.300187,1
366,-119.535221,49.089195,1
367,-119.525921,55.290047,1
368,-119.507065,49.473174,1
369,-119.497926,49.199874,1
370,-119.492939,37.844301,1
371,-119.47006,38.517384,1
372,-119.450569,49.016689,1
373,-119.45,49.03,1
374,-119.448803,49.858146,1
375,-119.4471,44.2124,1
376,-119.42,49.98,1
377,-119.399839,49.943202,1
378,-119.391036,47.588567,1
379,-119.385,44.0672,1
380,-119.378575,50.087774,1
381,-119.36709,46.302506,1
382,-119.366828,49.840046,1
383,-119.35,50.36,1
384,-119.3414,45.9175,1
385,-119.341366,50.181363,1
386,-119.34,49.03,1
387,-119.314057,48.839376,1
388,-119.311858,45.927508,1
389,-119.309283,50.040574,1
390,-119.2602,47.116526,1
391,-119.256005,46.236074,1
392,-119.247589,50.210697,1
393,-119.233202,38.097405,1
394,-119.218779,50.255963,1
395,-119.2,50.45,1
396,-119.185,50.451,1
397,-119.17,52.7,1
