,X_WGS84,Y_WGS84,amocan
682,-154.97,58.64,0
683,-154.86,65.18,0
684,-154.86,62.21,0
685,-154.78,59.24,0
686,-154.78,69.11,0
687,-154.63,66.55,0
688,-154.63,63.43,0
689,-154.55,68.15,0
690,-154.48,61.57,0
691,-154.33,64.09,0
692,-154.25,69.98,0
693,-154.25,60.5,0
694,-154.17,67.31,0
695,-154.17,63.01,0
696,-153.91,68.92,0
697,-153.87,65.87,0
698,-153.79,64.77,0
699,-153.75,66.59,0
700,-153.71,62.33,0
701,-153.68,61.49,0
702,-153.52,60.62,0
703,-153.3,65.53,0
704,-153.26,63.36,0
705,-153.26,67.13,0
706,-153.22,68.53,0
707,-153.14,70.29,0
708,-152.95,61.53,0
709,-152.95,69.03,0
710,-152.8,67.85,0
711,-152.8,66.44,0
712,-152.72,62.52,0
713,-152.72,69.6,0
714,-152.65,66.86,0
715,-152.57,64.69,0
716,-152.57,61.07,0
717,-152.53,65.79,0
718,-152.42,63.43,0
719,-152.31,61.91,0
720,-152,69.14,0
721,-151.93,63.93,0
722,-151.89,61.26,0
723,-151.89,62.94,0
724,-151.85,65.22,0
725,-151.85,67.43,0
726,-151.85,66.75,0
727,-151.66,62.33,0
728,-151.53,67.34,0
729,-151.47,68.34,0
730,-151.35,66.13,0
731,-151.28,69.75,0
732,-151.24,64.46,0
733,-151.19,63.11,0
734,-151.05,67.62,0
735,-151.01,61.68,0
736,-150.94,66.44,0
737,-150.86,66.82,0
738,-150.67,69.37,0
739,-150.63,62.86,0
740,-150.52,65.79,0
741,-150.48,68.61,0
742,-150.4,61.8,0
743,-150.17,64.23,0
744,-150.06,67.16,0
745,-150.02,65.15,0
746,-149.95,62.29,0
747,-149.87,69.45,0
748,-149.79,69.94,0
749,-149.64,68.99,0
750,-149.64,66.63,0
751,-149.6,63.47,0
752,-149.53,68.15,0
753,-149.49,61.83,0
754,-149.45,62.67,0
755,-149.34,64.57,0
756,-149.34,65.87,0
757,-149.23,67.63,0
758,-149.11,69.45,0
759,-148.96,69.36,0
760,-148.82,62.45,0
761,-148.73,62.33,0
762,-148.54,63.55,0
763,-148.46,66.29,0
764,-148.44,61.79,0
765,-148.42,67.13,0
766,-148.27,64.88,0
767,-148.27,62.79,0
768,-148.08,69.26,0
769,-147.89,68.15,0
770,-147.74,62.06,0
771,-147.62,65.83,0
772,-147.59,69.07,0
773,-147.47,66.63,0
774,-147.43,63.51,0
775,-147.39,67.66,0
776,-147.13,64.31,0
777,-147.13,62.56,0
778,-146.94,61.95,0
779,-146.79,65.49,0
780,-146.63,68,0
781,-146.56,69.35,0
782,-146.37,63.2,0
783,-146.37,61.53,0
784,-146.33,65.87,0
785,-146.25,67.01,0
786,-146.16,64.26,0
787,-145.83,64.75,0
788,-145.75,64.94,0
789,-145.64,64.15,0
790,-145.53,64.92,0
791,-145.49,68.42,0
792,-145.42,63.47,0
793,-145.42,69.18,0
794,-145.42,65.76,0
