,X_WGS84,Y_WGS84,koemac
486,-122.456262,37.792103,1
487,-96.325318,44.013313,1
488,-120.642071,36.320619,1
489,-121.813837,37.53168,1
490,-121.897221,37.907557,1
491,-117.932149,34.355577,1
492,-97.678362,37.536734,1
493,-87.07797,41.648115,1
494,-105.282999,39.984873,1
495,-104.840738,32.381588,1
496,-110.9879,33.7629,1
497,-113.3806,34.7568,1
498,-109.4375,33.97278,1
499,-110.69111,32.37417,1
500,-105.249194,36.882694,1
501,-119.3878,45.0394,1
502,-105.134028,36.548695,1
503,-107.4507,33.5603,1
504,-111.7083,38.1142,1
505,-105.4793,35.57425,1
506,-105.512323,32.76307847,1
507,-104.628991,32.138435,1
508,-106.165907,35.61456,1
509,-105.667,32.757,1
510,-103.980819,36.784455,1
511,-105.4153,37.6736,1
512,-104.709873,32.232056,1
513,-106.647715,35.028727,1
514,-106.82407,36.079249,1
515,-105.571478,36.591541,1
516,-106.5135,32.535511,1
517,-109.25,35.75,1
518,-108.80456,31.576262,1
519,-106.49325,35.96817,1
520,-105.423003,36.27556,1
521,-107.60032,35.24672,1
522,-107.277671,36.605543,1
523,-104.852886,36.774803,1
524,-105.2458,36.7583,1
525,-105.767254,35.569622,1
526,-106.449519,35.21051,1
527,-122.743526,38.063216,1
528,-112.87597,49.09485,1
529,-89.328449,41.903842,1
530,-93.412135,37.563658,1
531,-100.246667,50.85,1
532,-101.329694,50.399028,1
533,-96.128921,41.135341,1
534,-94.688696,48.827899,1
535,-90.793598,43.098956,1
536,-90.535685,43.194805,1
537,-108.961454,53.393527,1
538,-104.907727,50.76677,1
539,-90.296847,42.221929,1
540,-89.835072,43.874611,1
541,-87.19278,41.614648,1
542,-92.73332,45.74317,1
543,-90.113823,41.920211,1
544,-92.746097,45.293249,1
545,-92.82854,45.56564,1
546,-81.968951,43.210359,1
547,-110.040283,49.679517,1
548,-123.460064,48.923825,1
549,-110.8721,53.343,1
550,-120.6259,42.4525,1
551,-87.842233,42.059851,1
552,-110.886155,58.191722,1
553,-122.138533,49.37745,1
554,-105.19998,41.892889,1
555,-110.45359,49.612914,1
556,-116.430717,52.067083,1
557,-116.392033,52.254117,1
558,-119.275861,55.174168,1
559,-112.929611,53.707154,1
560,-115.0459,51.0354,1
561,-111.560767,53.0848,1
562,-114.90065,54.275017,1
563,-117.185072,57.224696,1
564,-111.7235,55.4021,1
565,-112.196254,51.76897,1
566,-117.0583,45.9566,1
567,-114.780018,50.596039,1
568,-117.4524,42.0843,1
569,-119.6913,42.4986,1
570,-100.55038,42.44239,1
571,-104.6115679,47.69003775,1
572,-96.953502,40.817781,1
573,-102.235601,45.693601,1
574,-106.148342,45.569166,1
575,-100.55038,43.02238,1
576,-104.432867,45.835076,1
577,-99.74078,42.73791,1
578,-101.3166418,47.24847599,1
579,-100.216112,46.248794,1
580,-100.7823931,47.03359896,1
581,-97.49029,42.8818,1
582,-97.27592,45.00554,1
583,-101.2691358,46.82131702,1
584,-105.5399098,46.41220493,1
585,-105.62402,42.4073,1
586,-92.551802,42.586614,1
587,-118.508373,37.130718,1
588,-96.394062,42.5407,1
589,-102.45128,42.29169,1
590,-104.2712478,46.04593359,1
591,-103.17934,45.52998,1
592,-94.7888,38.98409,1
593,-106.808451,41.442371,1
594,-95.29875,38.58222,1
595,-96.742866,39.221814,1
596,-97.120646,39.933837,1
597,-94.94481,37.72209,1
598,-95.18886,37.58476,1
599,-101.558537,40.434608,1
600,-96.00758,39.13766,1
601,-94.978778,39.257884,1
602,-97.034594,37.008601,1
