,X_WGS84,Y_WGS84,bougra
581,-100.49442,39.83935,1
582,-99.55979,38.0063,1
583,-98.41499,38.23553,1
584,-101.14647,37.78328,1
585,-97.89648,37.38225,1
586,-100.925833,38.681801,1
587,-100.45016,38.48224,1
588,-98.582145,37.30172,1
589,-97.49803,37.03388,1
590,-99.93061,39.80386,1
591,-98.30614,39.4693,1
592,-97.73349,39.56743,1
593,-100.07412,39.36393,1
594,-98.58015,37.19515,1
595,-101.7727,37.98453,1
596,-99.50392,38.87822,1
597,-98.41669,37.62823,1
598,-101.48299,37.15265,1
599,-100.351514,37.799176,1
600,-101.62349,39.67611,1
601,-98.2666,39.70014,1
602,-97.12865,39.22529,1
603,-101.36094,38.7891,1
604,-99.30581,37.28449,1
605,-99.16484,37.33571,1
606,-99.30922,38.57497,1
607,-100.72683,37.10262,1
608,-96.710906,37.319521,1
609,-99.759401,37.195174,1
610,-98.05964,37.95528,1
611,-97.59349,39.07469,1
612,-97.1159,39.93149,1
613,-103.925698,38.472385,1
614,-98.205008,39.270101,1
615,-100.247388,39.574008,1
616,-165.86,65.56,0
617,-165.4,64.92,0
618,-165.02,65.79,0
619,-164.41,62.18,0
620,-164.15,65.11,0
621,-164.15,68.42,0
622,-163.99,60.77,0
623,-163.69,61.68,0
624,-163.27,60.73,0
625,-163.23,67.81,0
626,-163.19,62.33,0
627,-163,65.22,0
628,-162.81,61.35,0
629,-162.74,68.92,0
630,-162.63,61.23,0
631,-162.51,61.03,0
632,-162.4,61.95,0
633,-162.36,67.32,0
634,-162.2,62.71,0
635,-162.17,69.52,0
636,-161.94,68.49,0
637,-161.79,60.73,0
638,-161.75,61.72,0
639,-161.68,67.52,0
640,-161.45,68.23,0
641,-161.32,68.52,0
642,-161.25,68.5,0
643,-161.21,59.74,0
644,-161.18,60.35,0
645,-161.14,69.45,0
646,-160.99,62.02,0
647,-160.91,65.3,0
648,-160.87,61.3,0
649,-160.68,67.62,0
650,-160.45,63.17,0
651,-160.45,60.5,0
652,-160.23,64.69,0
653,-160.23,66.52,0
654,-160.19,69.41,0
655,-160.03,60.04,0
656,-159.92,68.46,0
657,-159.81,61.11,0
658,-159.77,62.44,0
659,-159.65,56.28,0
660,-159.59,66.45,0
661,-159.58,67.32,0
662,-159.46,64.38,0
663,-159.35,65.64,0
664,-159.35,61.87,0
665,-159.31,60.46,0
666,-159.27,63.09,0
667,-159.24,59.28,0
668,-159.12,70.02,0
669,-159.08,68,0
670,-159.04,61.5,0
671,-158.88,69.2,0
672,-158.85,56.5,0
673,-158.55,67.51,0
674,-158.55,64.96,0
675,-158.55,63.59,0
676,-158.51,59.93,0
677,-158.47,62.71,0
678,-158.4,69.75,0
679,-158.34,66.26,0
680,-158.25,66.55,0
681,-158.17,60.73,0
682,-158.05,68.8,0
683,-157.9,65.56,0
684,-157.9,61.8,0
685,-157.86,63.43,0
686,-157.86,56.96,0
687,-157.83,59.4,0
