,X_WGS84,Y_WGS84,geutri
473,-93.165747,44.460803,1
474,-111.737016,35.351788,1
475,-96.894272,49.381687,1
476,-101.719322,50.083542,1
477,-92.395613,45.181808,1
478,-82.572781,45.889167,1
479,-114.191883,51.100232,1
480,-107.941434,50.651771,1
481,-95.031911,45.328282,1
482,-104.267428,50.725757,1
483,-99.655731,50.780084,1
484,-111.668279,35.234987,1
485,-88.068336,41.814587,1
486,-120.687422,46.871393,1
487,-94.574416,39.041346,1
488,-103.473678,44.427138,1
489,-105.716865,39.61217,1
490,-107.101019,38.761531,1
491,-93.618634,44.860219,1
492,-104.604692,50.776757,1
493,-111.727764,35.04856,1
494,-111.703592,35.14977,1
495,-78.497754,44.543503,1
496,-88.714625,42.744055,1
497,-93.450916,44.719905,1
498,-93.717299,50.512394,1
499,-97.625556,51.183611,1
500,-98.384722,51.238889,1
501,-97.454694,51.066167,1
502,-94.609395,50.304504,1
503,-113.899284,49.342085,1
504,-115.056238,51.084777,1
505,-114.683774,50.630155,1
506,-116.55,49.18,1
507,-115.2,49.03,1
508,-117.23,47.34,1
509,-99.86,49.41,1
510,-120.79,50.11,1
511,-119.2,50.45,1
512,-120.92,56.45,1
513,-121.58,50.23,1
514,-120.94,52.51,1
515,-122.79,51.05,1
516,-121.4,50.88,1
517,-120.51,49.46,1
518,-119.67,49.6,1
519,-121.65,56.39,1
520,-117.74,50.73,1
521,-113.93,49.53,1
522,-120.32,50.67,1
523,-121.37376,50.42215,1
524,-120.17,50.67,1
525,-122.14,55.98,1
526,-120.00278,49.18222,1
527,-115.98,49.67,1
528,-120.19,49.07,1
529,-119.17,52.7,1
530,-120.51,50.16,1
531,-116.87,49.68,1
532,-116.99,49.62,1
533,-122.54,52.2,1
534,-121.59,51.08,1
535,-115.12,49.3,1
536,-116.99,51.03,1
537,-119.34,49.03,1
538,-121.0888,56.2344,1
539,-118.83,48.83,1
540,-117.14,49.44,1
541,-116.05,50.57,1
542,-117.7,49.1,1
543,-121.74,50.87,1
544,-124.65,49.3,1
545,-128.63,54.33,1
546,-119.42,49.98,1
547,-119.55,49.18,1
548,-121.29,51.65,1
549,-120.67,50.17,1
550,-122.27,55.6,1
551,-124.91,50.25,1
552,-114.49,49,1
553,-121.4699,56.2131,1
554,-117.53,46.17,1
555,-116.74,49.5,1
556,-121.2823,56.2564,1
557,-120.14,55.72,1
558,-120,56.15,1
559,-120.85,56.25,1
560,-111.68895,42.21735,1
561,-103.594907,47.328678,1
562,-118.153939,48.894387,1
563,-116.408907,45.326643,1
564,-109.404099,45.062806,1
565,-107.691587,49.179776,1
566,-120.662064,44.357361,1
567,-96.901167,50.017675,1
568,-117.7,45.27,1
569,-106.8582,44.541,1
570,-121.09149,41.465929,1
571,-111.702962,38.031097,1
572,-109.536543,34.05044,1
573,-73.877023,40.862289,1
574,-104.6269,42.6452,1
575,-106.776762,37.550792,1
576,-116.73318,43.016826,1
577,-107.2633,44.7761,1
578,-107.8068,42.5401,1
579,-109.297077,40.882737,1
580,-107.6879,42.3402,1
581,-120.688573,41.609792,1
582,-105.010349,38.790517,1
583,-120.903774,41.306448,1
584,-109.042654,43.663845,1
585,-79.09481,44.6464,1
586,-116.300697,45.761551,1
587,-96.699158,48.908686,1
588,-107.515133,44.737344,1
589,-119.90491,41.850641,1
590,-82.728722,45.782269,1
591,-110.854508,44.543228,1
592,-108.091332,39.053868,1
593,-103.70862,52.550638,1
594,-116.608824,46.233019,1
595,-120.745492,40.973186,1
596,-106.988229,44.350535,1
597,-116.348803,45.608852,1
598,-120.894188,40.993092,1
599,-106.529342,37.352695,1
600,-111.382904,44.416523,1
601,-102.459664,48.629225,1
602,-97.508513,50.609683,1
603,-91.92108,44.256245,1
604,-92.74446,45.74421,1
605,-93.216229,44.860846,1
606,-106.355666,52.630194,1
607,-92.76566,45.167164,1
608,-113.218047,49.487188,1
609,-89.391264,43.694804,1
610,-89.494292,42.697894,1
611,-89.673306,43.122348,1
612,-89.441476,43.23358,1
613,-123.683556,45.964163,1
614,-113.644415,48.743828,1
615,-89.65661,44.434369,1
616,-118.108104,53.059538,1
617,-111.235787,45.18859,1
618,-91.295123,43.968541,1
619,-78.285374,44.352838,1
620,-91.48351,44.02612,1
621,-114.353489,49.38474,1
622,-76.894806,44.350542,1
623,-99.291941,49.729168,1
624,-117.19972,47.675012,1
625,-89.818192,43.997485,1
626,-92.129386,43.182187,1
627,-96.302939,41.009868,1
628,-105.076616,49.723051,1
